Predecessor,Successor,RelationshipType,Lag(d),Lag Min(Day),Lag Max(Day)
SDASP01P010000N,SDASP02P010000N,FS,5,4,6
SDASS01P010000N,SDAST01P010000N,FS,0,0,0
